"Tumor_Sample_Barcode" "type"
"TCGA-FU-A3NI-01" "TCGA-FU-A3NI" "Tumor"
"TCGA-DG-A2KJ-01" "TCGA-DG-A2KJ" "Tumor"
"TCGA-IR-A3LB-01" "TCGA-IR-A3LB" "Tumor"
"TCGA-C5-A7CK-01" "TCGA-C5-A7CK" "Tumor"
"TCGA-VS-A9UL-01" "TCGA-VS-A9UL" "Tumor"
"TCGA-EA-A97N-01" "TCGA-EA-A97N" "Tumor"
"TCGA-Q1-A6DT-01" "TCGA-Q1-A6DT" "Tumor"
"TCGA-DS-A1O9-01" "TCGA-DS-A1O9" "Tumor"
"TCGA-EK-A2PG-01" "TCGA-EK-A2PG" "Tumor"
"TCGA-VS-A8EK-01" "TCGA-VS-A8EK" "Tumor"
"TCGA-FU-A23K-01" "TCGA-FU-A23K" "Tumor"
"TCGA-C5-A1MK-01" "TCGA-C5-A1MK" "Tumor"
"TCGA-VS-A8EB-01" "TCGA-VS-A8EB" "Tumor"
"TCGA-IR-A3LF-01" "TCGA-IR-A3LF" "Tumor"
"TCGA-VS-A9UM-01" "TCGA-VS-A9UM" "Tumor"
"TCGA-VS-A8QM-01" "TCGA-VS-A8QM" "Tumor"
"TCGA-EK-A2PM-01" "TCGA-EK-A2PM" "Tumor"
"TCGA-C5-A8YQ-01" "TCGA-C5-A8YQ" "Tumor"
"TCGA-FU-A3YQ-01" "TCGA-FU-A3YQ" "Tumor"
"TCGA-VS-A8Q8-01" "TCGA-VS-A8Q8" "Tumor"
"TCGA-EA-A3QE-01" "TCGA-EA-A3QE" "Tumor"
"TCGA-Q1-A73P-01" "TCGA-Q1-A73P" "Tumor"
"TCGA-Q1-A73O-01" "TCGA-Q1-A73O" "Tumor"
"TCGA-JX-A3Q0-01" "TCGA-JX-A3Q0" "Tumor"
"TCGA-C5-A7CH-01" "TCGA-C5-A7CH" "Tumor"
"TCGA-EX-A69M-01" "TCGA-EX-A69M" "Tumor"
"TCGA-JX-A5QV-01" "TCGA-JX-A5QV" "Tumor"
"TCGA-EA-A5ZD-01" "TCGA-EA-A5ZD" "Tumor"
"TCGA-DG-A2KL-01" "TCGA-DG-A2KL" "Tumor"
"TCGA-MA-AA3Y-01" "TCGA-MA-AA3Y" "Tumor"
"TCGA-EK-A2PL-01" "TCGA-EK-A2PL" "Tumor"
"TCGA-2W-A8YY-01" "TCGA-2W-A8YY" "Tumor"
"TCGA-FU-A2QG-01" "TCGA-FU-A2QG" "Tumor"
"TCGA-ZJ-A8QO-01" "TCGA-ZJ-A8QO" "Tumor"
"TCGA-VS-A9U7-01" "TCGA-VS-A9U7" "Tumor"
"TCGA-VS-A9UV-01" "TCGA-VS-A9UV" "Tumor"
"TCGA-ZJ-AB0H-01" "TCGA-ZJ-AB0H" "Tumor"
"TCGA-VS-A952-01" "TCGA-VS-A952" "Tumor"
"TCGA-EX-A449-01" "TCGA-EX-A449" "Tumor"
"TCGA-C5-A1MF-01" "TCGA-C5-A1MF" "Tumor"
"TCGA-EK-A2R8-01" "TCGA-EK-A2R8" "Tumor"
"TCGA-VS-A953-01" "TCGA-VS-A953" "Tumor"
"TCGA-VS-A9UJ-01" "TCGA-VS-A9UJ" "Tumor"
"TCGA-C5-A7X5-01" "TCGA-C5-A7X5" "Tumor"
"TCGA-Q1-A6DV-01" "TCGA-Q1-A6DV" "Tumor"
"TCGA-EK-A2IR-01" "TCGA-EK-A2IR" "Tumor"
"TCGA-ZJ-AAX4-01" "TCGA-ZJ-AAX4" "Tumor"
"TCGA-IR-A3L7-01" "TCGA-IR-A3L7" "Tumor"
"TCGA-C5-A2LY-01" "TCGA-C5-A2LY" "Tumor"
"TCGA-EA-A78R-01" "TCGA-EA-A78R" "Tumor"
"TCGA-ZJ-AB0I-01" "TCGA-ZJ-AB0I" "Tumor"
"TCGA-VS-A8EL-01" "TCGA-VS-A8EL" "Tumor"
"TCGA-C5-A7UI-01" "TCGA-C5-A7UI" "Tumor"
"TCGA-C5-A3HL-01" "TCGA-C5-A3HL" "Tumor"
"TCGA-EK-A2GZ-01" "TCGA-EK-A2GZ" "Tumor"
"TCGA-VS-A9UI-01" "TCGA-VS-A9UI" "Tumor"
"TCGA-DS-A0VK-01" "TCGA-DS-A0VK" "Tumor"
"TCGA-MY-A5BD-01" "TCGA-MY-A5BD" "Tumor"
"TCGA-DS-A0VN-01" "TCGA-DS-A0VN" "Tumor"
"TCGA-DG-A2KK-01" "TCGA-DG-A2KK" "Tumor"
"TCGA-LP-A5U3-01" "TCGA-LP-A5U3" "Tumor"
"TCGA-DS-A0VL-01" "TCGA-DS-A0VL" "Tumor"
"TCGA-C5-A1BL-01" "TCGA-C5-A1BL" "Tumor"
"TCGA-EA-A3HS-01" "TCGA-EA-A3HS" "Tumor"
"TCGA-MA-AA43-01" "TCGA-MA-AA43" "Tumor"
"TCGA-VS-A9V4-01" "TCGA-VS-A9V4" "Tumor"
"TCGA-VS-A9UT-01" "TCGA-VS-A9UT" "Tumor"
"TCGA-ZJ-AAXF-01" "TCGA-ZJ-AAXF" "Tumor"
"TCGA-MA-AA3W-01" "TCGA-MA-AA3W" "Tumor"
"TCGA-C5-A1M9-01" "TCGA-C5-A1M9" "Tumor"
"TCGA-FU-A3EO-01" "TCGA-FU-A3EO" "Tumor"
"TCGA-EA-A44S-01" "TCGA-EA-A44S" "Tumor"
"TCGA-VS-A9V2-01" "TCGA-VS-A9V2" "Tumor"
"TCGA-C5-A7UH-01" "TCGA-C5-A7UH" "Tumor"
