"","dynamicColors","mergedColors"
"A2M","brown","brown"
"A2ML1","green","green"
"A3GALT2","turquoise","greenyellow"
"A4GALT","grey","grey"
"AAAS","turquoise","greenyellow"
"AACS","turquoise","greenyellow"
"AADAC","blue","blue"
"AADAT","purple","greenyellow"
"AAGAB","turquoise","greenyellow"
"AAK1","turquoise","greenyellow"
"AAMP","darkred","darkred"
"AARS2","turquoise","greenyellow"
"AASDH","turquoise","greenyellow"
"AASDHPPT","lightgreen","lightgreen"
"AASS","turquoise","greenyellow"
"AATK","yellow","black"
"ABAT","turquoise","greenyellow"
"ABCA1","blue","blue"
"ABCA10","turquoise","greenyellow"
"ABCA12","green","green"
"ABCA13","pink","pink"
"ABCA2","turquoise","greenyellow"
"ABCA3","turquoise","greenyellow"
"ABCA4","yellow","black"
"ABCA5","turquoise","greenyellow"
"ABCA7","yellow","black"
"ABCB1","blue","blue"
"ABCB10","turquoise","greenyellow"
"ABCB6","pink","pink"
"ABCB7","turquoise","greenyellow"
"ABCB8","turquoise","greenyellow"
"ABCB9","turquoise","greenyellow"
"ABCC1","turquoise","greenyellow"
"ABCC10","turquoise","greenyellow"
"ABCC3","yellow","black"
"ABCC4","turquoise","greenyellow"
"ABCC5","pink","pink"
"ABCC6","yellow","black"
"ABCD1","blue","blue"
"ABCD3","turquoise","greenyellow"
"ABCD4","turquoise","greenyellow"
"ABCE1","turquoise","greenyellow"
"ABCF1","royalblue","royalblue"
"ABCF2","turquoise","greenyellow"
"ABCF3","pink","pink"
"ABCG1","turquoise","greenyellow"
"ABCG2","brown","brown"
"ABHD10","pink","pink"
"ABHD11","black","black"
"ABHD12","black","black"
"ABHD13","turquoise","greenyellow"
"ABHD14A","green","green"
"ABHD14B","yellow","black"
"ABHD15","turquoise","greenyellow"
"ABHD2","turquoise","greenyellow"
"ABHD3","turquoise","greenyellow"
"ABHD4","turquoise","greenyellow"
"ABHD5","turquoise","greenyellow"
"ABHD6","magenta","magenta"
"ABHD8","magenta","magenta"
"ABI1","salmon","green"
"ABI2","darkred","darkred"
"ABI3","blue","blue"
"ABI3BP","blue","blue"
"ABL1","turquoise","greenyellow"
"ABL2","turquoise","greenyellow"
"ABLIM1","turquoise","greenyellow"
"ABLIM2","green","green"
"ABLIM3","grey","grey"
"ABO","turquoise","greenyellow"
"ABR","turquoise","greenyellow"
"ABT1","royalblue","royalblue"
"ABTB1","grey","grey"
"ABTB2","turquoise","greenyellow"
"ACAA1","magenta","magenta"
"ACAA2","brown","brown"
"ACACA","turquoise","greenyellow"
"ACACB","turquoise","greenyellow"
"ACAD10","turquoise","greenyellow"
"ACAD8","lightgreen","lightgreen"
"ACAD9","pink","pink"
"ACADL","black","black"
"ACADM","turquoise","greenyellow"
"ACADS","yellow","black"
"ACADSB","turquoise","greenyellow"
"ACADVL","grey60","grey60"
"ACAP1","blue","blue"
"ACAP2","pink","pink"
"ACAP3","turquoise","greenyellow"
"ACAT1","lightgreen","lightgreen"
"ACAT2","purple","greenyellow"
"ACBD3","turquoise","greenyellow"
"ACBD4","black","black"
"ACBD5","turquoise","greenyellow"
"ACBD6","cyan","cyan"
"ACBD7","turquoise","greenyellow"
"ACCS","black","black"
"ACD","tan","tan"
"ACE","yellow","black"
"ACE2","green","green"
"ACER2","turquoise","greenyellow"
"ACER3","turquoise","greenyellow"
"ACHE","blue","blue"
"ACIN1","turquoise","greenyellow"
"ACLY","turquoise","greenyellow"
"ACO1","turquoise","greenyellow"
"ACO2","turquoise","greenyellow"
"ACOT1","turquoise","greenyellow"
"ACOT11","turquoise","greenyellow"
"ACOT2","turquoise","greenyellow"
"ACOT4","turquoise","greenyellow"
"ACOT7","yellow","black"
"ACOT8","black","black"
"ACOT9","turquoise","greenyellow"
"ACOX1","turquoise","greenyellow"
"ACOX2","brown","brown"
"ACOX3","lightyellow","greenyellow"
"ACP1","turquoise","greenyellow"
"ACP2","blue","blue"
"ACP5","blue","blue"
"ACP6","yellow","black"
"ACPP","pink","pink"
"ACRBP","blue","blue"
"ACSF2","yellow","black"
"ACSF3","tan","tan"
"ACSL1","turquoise","greenyellow"
"ACSL3","turquoise","greenyellow"
"ACSL4","turquoise","greenyellow"
"ACSL5","blue","blue"
"ACSM3","yellow","black"
"ACSS1","black","black"
"ACSS2","turquoise","greenyellow"
