"","p.value","HR","Low 95%CI","High 95%CI"
"DUSP9",0.716295592666701,0.976296942064625,0.857818110581426,1.11113965458096
"IL1A",0.0106447328735097,1.14872266643381,1.03278089556296,1.2776802611744
"HOXC13",0.200826331793394,1.11647502651724,0.943052317796337,1.3217893231517
"ECHDC3",0.456013683982056,1.05955779948351,0.910047297697357,1.23363118959527
"HOXD13",0.971702534528878,0.997678012111362,0.877420612943054,1.13441763410575
"ACOT7",0.68243300061776,0.939806055985506,0.698041121803604,1.26530571807134
"CASP14",0.605767031463364,1.01688922687967,0.954228254874674,1.08366493494761
"SLC16A1",0.08121773909688,1.15775521891376,0.981992991920977,1.36497628593048
"RGS20",0.0556394768464954,1.23617133917885,0.994904320609113,1.53594626955853
"ENO1",0.0135043022747512,1.5596848922975,1.09615540323769,2.21922635793786
"S100A3",0.0820388387461352,1.15048414159938,0.982343462817888,1.34740425337064
"HOXD11",0.662528995654346,1.03319158631709,0.892267691821087,1.19637286413199
"SH3GL3",0.38219177428878,0.900862807133921,0.712793947489287,1.13855315429626
"PRDM13",0.829866702909435,1.02701427229876,0.805343947894505,1.30969918910164
"PYGL",0.0663393292049301,1.18946866342273,0.988365794683917,1.43148994924205
"LGR6",0.251435235086548,1.09760997688236,0.936103032420482,1.28698190223419
"KIF9",0.24669028190894,0.834733310168349,0.614911761274582,1.13313770037563
"DACT2",0.303954919262164,0.925558416992435,0.798636935323708,1.07265059425071
"P4HTM",0.312233014922865,0.875321868242575,0.676085758131243,1.13327098494351
"TXNDC11",0.931971847839857,1.02064362804127,0.63844567669639,1.63163986143904
"RAP1GAP",0.351354114117073,1.0706809754461,0.927435394716725,1.23605132790124
"SCIN",0.238471224276058,0.889419432056821,0.731961984299139,1.0807486496416
"SVIP",0.49929663288933,0.948528772589867,0.813714554558656,1.10567867735735
"CYB561D2",0.737297674708025,1.05801897346237,0.760985763457906,1.47099223396743
"PATZ1",0.639802000833468,0.942049689154187,0.73365247896995,1.20964304254992
"VNN2",0.854237880772647,0.984214588254506,0.83055397064916,1.166303924808
"ARSD",0.413538463087998,1.08673570763279,0.890298812147574,1.32651474103998
"SPSB2",0.485343918229968,0.893016801702907,0.649863526221271,1.22714843339608
"OSBPL7",0.925372825966149,1.01242243613036,0.781932454205743,1.31085387704145
"CCDC65",0.322600542095183,0.831413589996251,0.576679054366537,1.1986711714192
"CAMK2N1",0.0643504160415562,1.12732816001306,0.992883980348949,1.27997712271658
"LRRC27",0.113163400106458,0.683381874822729,0.426679055942853,1.09452474953159
"DNAJC12",0.197244944292701,1.09180310788195,0.955354446899016,1.24774007202239
"PLEKHA6",0.612294753214671,1.03856519847982,0.89717880628469,1.20223266971732
"HOXB9",0.791621756388227,0.985241278852717,0.882347007086355,1.10013449329957
"CREB3L4",0.822211200602744,0.970558283209153,0.74785534056938,1.25957966735749
"SLC5A1",0.592389191633529,1.03591373677761,0.910385615767556,1.1787502476517
"EEPD1",0.979511594151187,0.996878392058844,0.785262774348322,1.26552099630412
"METTL7B",0.584260762894301,1.03751678241549,0.909286457406614,1.18383053549915
"SLC12A7",0.518426606870881,0.932483311386678,0.754222771300075,1.15287572730778
"LRRC23",0.726729580202161,0.952301641116119,0.723997345661712,1.25259908908035
"ACSS1",0.00498146770445359,0.755062256308733,0.620615425562696,0.918634934645917
"AMOT",0.199242226807195,0.912000160877718,0.792347067667121,1.04972218284326
"SLC16A4",0.269651072554736,1.10475107819204,0.925649364161746,1.3185067607881
"ASPHD1",0.107787107939545,1.12954600578058,0.973708651168072,1.31032437438479
"KCNK15",0.0132842936600271,1.26592330315272,1.05037668411717,1.52570200167004
"NRGN",0.0785809110209095,0.826225317789415,0.66792012965323,1.02205075943831
"FGFRL1",0.252734870030877,1.13197223732719,0.915334275246561,1.39988327841692
"ERP27",0.778521323255967,1.02317612164092,0.87218298009876,1.20030933850327
"ADH1C",0.056279694120537,0.898463946564292,0.804927042089699,1.00287034857244
"MMP24",0.293493801929695,1.18743348693489,0.861798769868452,1.63611081286363
"MFSD6L",0.389983246574877,1.07127236661025,0.915649512297094,1.25334472202543
"LTK",0.0417513603283439,0.783784932759534,0.619932806444482,0.990944203040627
"AP2B1",0.168731058490968,1.16130794808339,0.938547991148247,1.43693893439768
"HTR3A",0.0805180245657151,0.813641141036045,0.645634757658956,1.02536596509591
