"","p.value","HR","Low 95%CI","High 95%CI"
"KCNK15",0.0372630237017378,1.26093640255087,1.01377535652636,1.56835594892129
"LTK",0.02297394222088,0.708905552496155,0.526990499551102,0.953616968024957
"CXCL3",0.004084808604467,1.2314882846428,1.06833439011921,1.41955871610875
"SLC25A45",0.005973629661891,0.456493397834347,0.260999845949938,0.7984151159473
"PIH1D2",0.0303160506813032,0.557727006123496,0.328819595041447,0.945988067773972
"CYB5D2",0.0247195973229979,0.651619558278929,0.448393327589704,0.946954431757642
"C11orf71",0.0260932553958267,0.661653923571891,0.459848780948042,0.952021474702014
"MAGIX",0.025215420815054,0.66745371620833,0.468447725971505,0.951001442810737
"DTX1",0.0478271311885306,0.710029890296303,0.505797269706547,0.996728284845573
"RIBC1",0.0111347837642701,0.581426635763649,0.382523630793338,0.883754376361843
"SYTL3",0.00528530876463649,0.644630345002561,0.473488633312542,0.877630955554163
"LIF",0.0220822353579584,1.23437710641596,1.03072693056713,1.47826431585083
"EID2B",0.0182277716573452,0.585201085798024,0.375087042053032,0.913015573517914
"TCN2",0.000466296364793239,0.604232311163394,0.455679615340216,0.801213557866246
"SERPINF2",0.0280569027392387,0.721782328423272,0.539584926708487,0.965500894923211
"UCP2",0.000888978070402462,0.672150958589269,0.531763829073194,0.849600680662857
"FOXJ1",0.0209123160365941,0.880067738106724,0.789643066960515,0.98084724106748
"PLA1A",0.0207661494004692,0.755302633279847,0.595400538956414,0.958148390055845
"GCNT2",0.00341797109263448,0.711865552903925,0.566989837281517,0.893759521053996
"VTCN1",0.0195112539358079,0.851130521003721,0.743449539473592,0.974407979722473
"CRIP1",0.00803351206581717,0.697905557126435,0.534928741281986,0.910536542681675
